what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323864484228
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323864486051
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323864489026
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323864490716
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323864495342
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1323864497153
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1323864500425
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323864507670
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323864510720
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323864511943
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1323864513321
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323864534048
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1323864541289
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1323864541424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323864542166
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864552252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864589325
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864591250
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864630074
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864633600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864638177
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1323864651493
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864651510
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864656707
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323864658169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864668324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864673967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864675326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864692740
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323864725656
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.layout.LayoutEditor",1323864909446
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1323864913675
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323864924366
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.layout.LayoutEditor",1323864927236
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323864943753
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1323864949534
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864949546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864952529
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323864954072
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1323864955931
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1323864957921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864957934
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864960271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323864961801
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1323864963027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323864963882
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323864966226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864967417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864968161
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.layout.LayoutEditor",1323864968305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323864997859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323865028562
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1323865046560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323865046569
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323865049160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323865064363
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323865066156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1323865082197
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323865084708
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1323865089973
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1323865100203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1323865100951
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323865101547
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1323865108871
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1323865109329
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1323865109999
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1323865110597
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1323865111144
