what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323971267451
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323971267673
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1323971277752
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971279338
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1323971283285
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971292578
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971300241
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971302353
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971304146
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971305313
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323971312828
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323971317760
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323971321344
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971322723
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971324690
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323971329496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323971333836
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971334842
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323971337405
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323971341209
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323971341352
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1323971346173
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971348386
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971351426
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971354114
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971355898
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971363394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323971369647
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323971371756
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323971371784
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971372268
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323971378348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323971382483
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971383962
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323971385227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323971388068
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323971388200
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323971389082
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323971390480
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323971392062
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323971392242
