what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1324020123521
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1324020123933
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324020125479
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1324020152901
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1324020152901
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324020152917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324020156459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324020513226
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324020514341
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324020517008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324020581898
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324020583726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324020589592
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324020600738
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324020608552
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324020625565
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324020634022
started,bundle,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui",1324020639378
started,bundle,org.eclipse.wst.xml.core,1.1.505.v201109271810,"org.eclipse.wst.xml.core",1324020639452
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1324020639566
started,bundle,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui",1324020639604
started,bundle,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.ui",1324020639774
