what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323877887312
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1323877890866
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1323877891320
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323877893859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323877898958
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323877900502
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1323877907644
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323877908522
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1323877914120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323877915377
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323877917349
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323877917371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323877918254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323877925662
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323877927834
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323877934270
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1323877935628
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323877941482
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323877942532
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323878410928
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323878411614
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323878417232
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1323878422518
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1323878422816
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1323878423140
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1323878423458
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323878428230
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323878431797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323878439486
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323878449847
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1323878459074
